Open Contracting ID,Entrega compilada:ID de Entrega,Entrega compilada:Etiqueta de entrega,Entrega compilada:Fecha de entrega,Entrega compilada:Open Contracting ID,compiledRelease/publishedDate,Entrega compilada:Tipo de inicio,Entrega compilada:Comprador:ID de Organización,Entrega compilada:Comprador:Nombre de la Organización,Entrega compilada:Planeación:Presupuesto:Fuente del Presupuesto,Entrega compilada:Licitación:ID de licitación,Entrega compilada:Licitación:Título de la licitación,Entrega compilada:Licitación:Descripción de la licitación,Entrega compilada:Licitación:Entidad contratante:ID de Organización,Entrega compilada:Licitación:Entidad contratante:Nombre de la Organización,compiledRelease/tender/datePublished,Entrega compilada:Licitación:Método de contratación,Entrega compilada:Licitación:Detalles del método de contratación,Entrega compilada:Licitación:Categoría principal de contratación,Entrega compilada:Licitación:Categorías adicionales de contratación,Entrega compilada:Licitación:Valor:Monto,Entrega compilada:Licitación:Valor:Moneda,Entrega compilada:Licitación:Valor:Nombre de Moneda,compiledRelease/tender/value/amount_PEN,Entrega compilada:Licitación:Periodo de licitación:Fecha de inicio,Entrega compilada:Licitación:Periodo de licitación:Fecha de fin,Entrega compilada:Licitación:Número de licitantes,Entrega compilada:Licitación:Información Protegida,Entrega compilada:Segmentación:ID,Entrega compilada:Segmentación:Criterio,Entrega compilada:Planeación:Presupuesto:Monto:Monto,Entrega compilada:Planeación:Presupuesto:Monto:Moneda,Entrega compilada:Planeación:Presupuesto:Monto:Nombre de Moneda,Entrega compilada:Licitación:Periodo de consulta:Fecha de inicio,Entrega compilada:Licitación:Periodo de consulta:Fecha de fin,Entrega compilada:Licitación:Periodo de consulta:Duración (días),Entrega compilada:Planeación:Presupuesto:Título del Proyecto,Entrega compilada:Planeación:Presupuesto:Identificador de proyecto
ocds-dgv273-seacev3-1185527,ocds-dgv273-seacev3-1185527-2026-04-22T10:35:19.721911-05:00,compiled,2026-04-22T10:35:19.721898-05:00,ocds-dgv273-seacev3-1185527,2026-04-22T10:35:19.721916-05:00,tender,PE-CONSUCODE-1852,MUNICIPALIDAD DISTRITAL DE ILABAYA,Fondos Públicos,1185527,LP-ABR-1-2026-COMITÉ-MDI-1,"CONTRATACION DE LA EJECUCIÓN DEL SALDO DE OBRA: MEJORAMIENTO DE LA VÍA VECINAL R-21 (EMP. TA-573 CINTO ¿ CAOÑA) PROG. 6+186.49 AL 10+923.49 ANEXO CAOÑA, DISTRITO DE ILABAYA, PROVINCIA JORGE BASADRE, DEPARTAMENTO DE TACNA CUI: 2502915",PE-CONSUCODE-1852,MUNICIPALIDAD DISTRITAL DE ILABAYA,2026-01-28T01:13:00-05:00,,Licitación Pública Abreviada,works,works,9579244.54,PEN,Soles,9579244.54,2026-01-28T00:00:00-05:00,2026-01-28T00:00:00-05:00,9,False,2026-01,añoInicioConvocatoria;mesInicioConvocatoria,,,,2026-01-29T00:01:00-05:00,2026-02-02T23:59:00-05:00,4,"MEJORAMIENTO DE LA VÍA VECINAL R-21 (EMP. TA-573 CINTO ¿ CAOÑA) PROG. 6+186.49 AL 10+923.49 ANEXO CAOÑA, DISTRITO DE ILABAYA, PROVINCIA JORGE BASADRE, DEPARTAMENTO DE TACNA.",2502915
ocds-dgv273-seacev3-1185434,ocds-dgv273-seacev3-1185434-2026-04-22T10:35:19.061454-05:00,compiled,2026-04-22T10:35:19.061442-05:00,ocds-dgv273-seacev3-1185434,2026-04-22T10:35:19.061460-05:00,tender,PE-CONSUCODE-505,MUNICIPALIDAD PROVINCIAL DE HUAMANGA,Fondos Públicos,1185434,SIE-SIE-3-2026-MPH/DEC-1,"ADQUISICIÓN DE AGREGADOS PARA EL PROYECTO MEJORAMIENTO Y AMPLIACION DEL SERVICIO DE MOVILIDAD URBANA EN LAS VIAS LOCALES DEL PASAJE LOS ANGELES (CDRA 02), PASAJE S/N 0081, PASAJE S/N 0078, PASAJE SAN CRISTOBAL, PASAJE S/N 0067, PASAJE S/N 0068 Y LA AV. PERU (CDRA 04, 05 Y 06) DEL PUEBLO JOVEN LA LIB",PE-CONSUCODE-505,MUNICIPALIDAD PROVINCIAL DE HUAMANGA,2026-01-27T17:30:00-05:00,open,Subasta Inversa Electrónica,goods,goods,60580.0,PEN,Soles,60580.0,2026-01-27T00:00:00-05:00,2026-01-27T00:00:00-05:00,19,False,2026-01,añoInicioConvocatoria;mesInicioConvocatoria,60580.0,PEN,Soles,,,,"MEJORAMIENTO Y AMPLIACION DEL SERVICIO DE MOVILIDAD URBANA EN LAS VÍAS LOCALES DEL PASAJE LOS ÁNGELES (CDRA 02), PASAJE S/N 0081, PASAJE S/N 0078, PASAJE SAN CRISTÓBAL, PASAJE S/N 0067, PASAJE S/N 0068 Y LA AV. PERÚ(CDRA 04, 05 Y 06) DEL PUEBLO JOVEN LA LIBERTAD   DISTRITO DE AYACUCHO DE LA PROVINCIA DE HUAMANGA DEL DEPARTAMENTO DE AYACUCHO",2642741
ocds-dgv273-seacev3-2026-1320-6,ocds-dgv273-seacev3-2026-1320-6-2026-04-22T10:35:08.616934-05:00,compiled,2026-04-22T10:35:08.616916-05:00,ocds-dgv273-seacev3-2026-1320-6,2026-04-22T10:35:08.616942-05:00,tender,PE-CONSUCODE-1320,MUNICIPALIDAD DISTRITAL DE LA MOLINA,Fondos Públicos,1185510,CP-ABR-1-2026-MDLM-1,SERVICIO DE TELECOMUNICACIONES DE RADIO A TRAVÉS DE UN SISTEMA DE COMUNICACIONES TETRA CON GPS CON FINES DE SEGURIDAD CIUDADANA Y ATENCIÓN A SITUACIONES DE EMERGENCIA PARA LA SUBGERENCIA DE SERENAZGO.,PE-CONSUCODE-1320,MUNICIPALIDAD DISTRITAL DE LA MOLINA,2026-01-29T17:59:00-05:00,,Concurso Público Abreviado,services,services,179124.0,PEN,Soles,179124.0,2026-01-29T00:00:00-05:00,2026-01-29T00:00:00-05:00,8,False,2026-01,añoInicioConvocatoria;mesInicioConvocatoria,179124.11,PEN,Soles,2026-01-30T00:01:00-05:00,2026-02-03T23:59:00-05:00,4,,
ocds-dgv273-seacev3-2026-1085-1,ocds-dgv273-seacev3-2026-1085-1-2026-04-22T10:34:58.659539-05:00,compiled,2026-04-22T10:34:58.659526-05:00,ocds-dgv273-seacev3-2026-1085-1,2026-04-22T10:34:58.659544-05:00,tender,PE-CONSUCODE-1085,MUNICIPALIDAD DISTRITAL DE PILCOMAYO,Fondos Públicos,1185259,CP-ABR-1-2026-MDP-1,"CONTRATACIÓN DEL SERVICIO DE CONSULTORÍA EN GENERAL PARA LA ELABORACIÓN DEL ESTUDIO: ¿ACTUALIZACIÓN PARCIAL DEL PDM 2017-2037, DEL ÁMBITO URBANO DEL DISTRITO DE PILCOMAYO, PROVINCIA DE HUANCAYO - REGIÓN JUNÍN¿",PE-CONSUCODE-1085,MUNICIPALIDAD DISTRITAL DE PILCOMAYO,2026-01-23T22:36:00-05:00,,Concurso Público Abreviado,services,services,255000.0,PEN,Soles,255000.0,2026-01-23T00:00:00-05:00,2026-01-23T00:00:00-05:00,10,False,2026-01,añoInicioConvocatoria;mesInicioConvocatoria,,,,2026-01-24T00:01:00-05:00,2026-01-28T23:59:00-05:00,4,,
ocds-dgv273-seacev3-1205165,ocds-dgv273-seacev3-1205165-2026-04-19T10:08:37.358993-05:00,compiled,2026-04-19T10:08:37.358981-05:00,ocds-dgv273-seacev3-1205165,2026-04-19T10:08:37.358999-05:00,tender,PE-CONSUCODE-200025,PROGRAMA NACIONAL DE SANEAMIENTO URBANO,Fondos Públicos,1205165,CONV-PROC-7-2026-PNSU-UGPPBID-CI-1,CI 07 ASISTENTE ADMINISTRATIVO PARA LA COORDINACIÓN ADMINISTRATIVA DE LA UNIDAD DE GESTION DE PROGRAMAS Y PROYECTOS BID,PE-CONSUCODE-200025,PROGRAMA NACIONAL DE SANEAMIENTO URBANO,2026-04-13T18:59:00-05:00,open,Convenio,services,services,12000.0,PEN,Nuevos Soles,12000.0,2026-01-23T00:00:00-05:00,2026-01-23T00:00:00-05:00,3,False,2026-01,añoInicioConvocatoria;mesInicioConvocatoria,12000.0,PEN,Soles,,,,,
ocds-dgv273-seacev3-1204709,ocds-dgv273-seacev3-1204709-2026-04-19T10:08:37.270148-05:00,compiled,2026-04-19T10:08:37.270135-05:00,ocds-dgv273-seacev3-1204709,2026-04-19T10:08:37.270153-05:00,tender,PE-CONSUCODE-200025,PROGRAMA NACIONAL DE SANEAMIENTO URBANO,Fondos Públicos,1204709,CONV-PROC-2-2026-PNSU-UGPPBID-CI-1,"Supervisor de tránsito, para la supervisión de la elaboración del expediente técnico del proyecto: Mejoramiento y ampliación del servicio de drenaje pluvial en los Distritos de Zarumilla y Aguas \nVerdes de la Provincia de Zarumilla Departamento de Tumbes, código único de inversiones 2567526 Etapa",PE-CONSUCODE-200025,PROGRAMA NACIONAL DE SANEAMIENTO URBANO,2026-04-10T17:02:00-05:00,open,Convenio,services,services,51000.0,PEN,Soles,51000.0,2026-01-20T00:00:00-05:00,2026-01-20T00:00:00-05:00,2,False,2026-01,añoInicioConvocatoria;mesInicioConvocatoria,51000.0,PEN,Soles,,,,,
ocds-dgv273-seacev3-1184915,ocds-dgv273-seacev3-1184915-2026-04-19T10:08:35.303638-05:00,compiled,2026-04-19T10:08:35.303625-05:00,ocds-dgv273-seacev3-1184915,2026-04-19T10:08:35.303644-05:00,tender,PE-CONSUCODE-1341,MUNICIPALIDAD DISTRITAL DE SAN MARTIN DE PORRES,Fondos Públicos,1184915,LP-ABR-6-2025-CS/MDSMP-2,"MEJORAMIENTO DEL SERVICIO DE MOVILIDAD URBANA EN EL PASAJE GENERACIÓN RODRIGUEZ, Jr. VILLA MERCEDES. Jr. DIEGO FERRÉ EN LA ASOCIACIÓN DE VIVIENDA DANIEL ALCIDES CARRIÓN 2DA.ETAPA Y LA URB.20 DE MARZO DISTRITO DE SAN MARTIN DE PORRES,PROVINCIA DE LIMA,DEPARTAMENTO DE LIMA-CUI2692260",PE-CONSUCODE-1341,MUNICIPALIDAD DISTRITAL DE SAN MARTIN DE PORRES,2026-01-21T12:54:00-05:00,,Licitación Pública Abreviada,works,works,227806.79,PEN,Soles,227806.79,2026-01-21T00:00:00-05:00,2026-01-21T00:00:00-05:00,25,False,2026-01,añoInicioConvocatoria;mesInicioConvocatoria,,,,2026-01-22T00:01:00-05:00,2026-01-26T23:59:00-05:00,4,"MEJORAMIENTO DEL SERVICIO DE MOVILIDAD URBANA EN EL PASAJE GENERACION RODRIGUEZ, JR. VILLA MERCEDES, JR. DIEGO FERRE EN LA ASOCIACION DE VIVIENDA DANIEL ALCIDES CARRION 2DA ETAPA Y LA URBANIZACION 20 DE MARZO   DISTRITO DE SAN MARTIN DE PORRES DE LA PROVINCIA DE LIMA DEL DEPARTAMENTO DE LIMA",2692260
ocds-dgv273-seacev3-1204734,ocds-dgv273-seacev3-1204734-2026-04-19T10:08:21.512984-05:00,compiled,2026-04-19T10:08:21.512971-05:00,ocds-dgv273-seacev3-1204734,2026-04-19T10:08:21.512990-05:00,tender,PE-CONSUCODE-200025,PROGRAMA NACIONAL DE SANEAMIENTO URBANO,Fondos Públicos,1204734,CONV-PROC-3-2026-PNSU-UGPPBID-CI-1,"Supervisor de costos y presupuestos, para la supervisión de la elaboración del expediente  técnico del proyecto Mejoramiento y ampliación del servicio de drenaje pluvial en los Distritos de Zarumilla y Aguas Verdes de la Provincia de Zarumilla ¿ Departamento de Tumbes, código único de inversiones 25",PE-CONSUCODE-200025,PROGRAMA NACIONAL DE SANEAMIENTO URBANO,2026-04-10T17:51:00-05:00,open,Convenio,services,services,47000.0,PEN,Soles,47000.0,2026-01-20T00:00:00-05:00,2026-01-20T00:00:00-05:00,3,False,2026-01,añoInicioConvocatoria;mesInicioConvocatoria,47000.0,PEN,Soles,,,,,
ocds-dgv273-seacev3-1185787,ocds-dgv273-seacev3-1185787-2026-04-19T10:08:16.564434-05:00,compiled,2026-04-19T10:08:16.564421-05:00,ocds-dgv273-seacev3-1185787,2026-04-19T10:08:16.564439-05:00,tender,PE-CONSUCODE-403,MUNICIPALIDAD DISTRITAL DE MARIANO MELGAR,Fondos Públicos,1185787,LP-ABR-5-2026-MDMM-1,"EJECUCION DE LA OBRA MEJORAMIENTO DEL SERVICIO DE TRANSITABILIDAD VEHICULAR Y PEATONAL DEL PUEBLO JOVEN SEÑOR DE HUANCA DEL DISTRITO DE MARIANO MELGAR ¿ PROVINCIA DE AREQUIPA ¿ DEPARTAMENTO DE AREQUIPA, II ETAPA, CUI Nº 2454292",PE-CONSUCODE-403,MUNICIPALIDAD DISTRITAL DE MARIANO MELGAR,2026-01-29T18:32:00-05:00,,Licitación Pública Abreviada,works,works,992643.64,PEN,Soles,992643.64,2026-01-29T00:00:00-05:00,2026-01-29T00:00:00-05:00,26,False,2026-01,añoInicioConvocatoria;mesInicioConvocatoria,992643.64,PEN,Soles,2026-01-30T00:01:00-05:00,2026-02-03T23:59:00-05:00,4,MEJORAMIENTO DEL SERVICIO DE TRANSITABILIDAD VEHICULAR Y PEATONAL DEL PUEBLO JOVEN SEÑOR DE HUANCA DEL DISTRITO DE MARIANO MELGAR - PROVINCIA DE AREQUIPA - DEPARTAMENTO DE AREQUIPA,2454292
ocds-dgv273-seacev3-1204643,ocds-dgv273-seacev3-1204643-2026-04-19T10:08:01.373313-05:00,compiled,2026-04-19T10:08:01.373300-05:00,ocds-dgv273-seacev3-1204643,2026-04-19T10:08:01.373319-05:00,tender,PE-CONSUCODE-200025,PROGRAMA NACIONAL DE SANEAMIENTO URBANO,Fondos Públicos,1204643,CONV-PROC-1-2026-PNSU-UGPPBID-CI-1,CI 01 ESPECIALISTA EN DESARROLLO Y SOPORTE DE APLICACIONES GIS PARA EL  CONTROL ESTRATÉGICO DE PROYECTOS DE OBRA DE LA UGPP BID Y PNSU,PE-CONSUCODE-200025,PROGRAMA NACIONAL DE SANEAMIENTO URBANO,2026-04-10T16:11:00-05:00,open,Convenio,services,services,36000.0,PEN,Soles,36000.0,2026-01-19T00:00:00-05:00,2026-01-19T00:00:00-05:00,2,False,2026-01,añoInicioConvocatoria;mesInicioConvocatoria,36000.0,PEN,Soles,,,,,
ocds-dgv273-seacev3-1206947,ocds-dgv273-seacev3-1206947-2026-04-19T10:07:58.642269-05:00,compiled,2026-04-19T10:07:58.642256-05:00,ocds-dgv273-seacev3-1206947,2026-04-19T10:07:58.642275-05:00,tender,PE-CONSUCODE-204468,UNIDAD EJECUTORA 012 - OFICINA GENERAL DE INVERSIONES Y PROYECTOS,Fondos Privados,1206947,CONV-PROC-1-2026-CI-OGIP/5301-1,ANALISTA EN SEGUIMIENTO Y CONTROL DEL PROYECTO MEJORAMIENTO DE LA ADMINISTRACIÓN FINANCIERA DEL SECTOR PÚBLICO A TRAVÉS DE LA TRANSFORMACIÓN DIGITAL,PE-CONSUCODE-204468,UNIDAD EJECUTORA 012 - OFICINA GENERAL DE INVERSIONES Y PROYECTOS,2026-04-17T17:07:00-05:00,open,Convenio,services,services,30000.0,PEN,Soles,30000.0,2026-01-20T00:00:00-05:00,2026-01-20T00:00:00-05:00,1,False,2026-01,añoInicioConvocatoria;mesInicioConvocatoria,30000.0,PEN,Soles,,,,,
ocds-dgv273-seacev3-1185917,ocds-dgv273-seacev3-1185917-2026-04-18T10:19:51.906418-05:00,compiled,2026-04-18T10:19:51.906404-05:00,ocds-dgv273-seacev3-1185917,2026-04-18T10:19:51.906424-05:00,tender,PE-CONSUCODE-211,MUNICIPALIDAD PROVINCIAL DE HUARI,Fondos Públicos,1185917,CP-ABR-1-2026-MPHI/C-1,"CONTRATACIÓN DE CONSULTORÍA DE OBRA PARA LA SUPERVISIÓN DE LA OBRA:¿MEJORAMIENTO Y AMPLIACIÒN DEL SERVICIO DE PRÀCTICA DEPORTIVA Y/O RECREATIVA EN LA LOCALIDAD DE VILCABAMBA, DISTRITO DE PAUCAS DE LA PROVINCIA DE HUARI DEL DEPARTAMENTO DE ANCASH¿ CON CODIGO UNICO DE INVERSIONES Nº 2675737",PE-CONSUCODE-211,MUNICIPALIDAD PROVINCIAL DE HUARI,2026-01-21T20:36:00-05:00,,Concurso Público Abreviado,services,services,239766.56,PEN,Soles,239766.56,2026-01-21T00:00:00-05:00,2026-01-21T00:00:00-05:00,14,False,2026-01,añoInicioConvocatoria;mesInicioConvocatoria,239766.56,PEN,Soles,2026-01-22T00:01:00-05:00,2026-01-26T23:59:00-05:00,4,MEJORAMIENTO Y AMPLIACION DEL SERVICIO DE PRÁCTICA DEPORTIVA Y/O RECREATIVA EN LA LOCALIDAD DE VILCABAMBA   DISTRITO DE PAUCAS DE LA PROVINCIA DE HUARI DEL DEPARTAMENTO DE ANCASH,2675737
ocds-dgv273-seacev3-1185750,ocds-dgv273-seacev3-1185750-2026-04-18T10:19:51.375840-05:00,compiled,2026-04-18T10:19:51.375827-05:00,ocds-dgv273-seacev3-1185750,2026-04-18T10:19:51.375845-05:00,tender,PE-CONSUCODE-1898,UNIVERSIDAD NACIONAL DEL CALLAO,Fondos Públicos,1185750,LP-SM-1-2026-UNAC-1,ADQUISICIÓN DE TARJETAS ELECTRÓNICAS DE CONSUMO PARA EL PERSONAL DE LA UNIVERSIDAD NACIONAL DEL CALLAO,PE-CONSUCODE-1898,UNIVERSIDAD NACIONAL DEL CALLAO,2026-01-29T15:47:00-05:00,open,Licitación Pública,goods,goods,4317000.0,PEN,Soles,4317000.0,2026-01-29T00:00:00-05:00,2026-01-29T00:00:00-05:00,4,False,2026-01,añoInicioConvocatoria;mesInicioConvocatoria,4317000.0,PEN,Soles,2026-01-30T00:01:00-05:00,2026-02-09T23:59:00-05:00,10,,
ocds-dgv273-seacev3-2026-1003003812-7,ocds-dgv273-seacev3-2026-1003003812-7-2026-04-18T10:19:29.283981-05:00,compiled,2026-04-18T10:19:29.283968-05:00,ocds-dgv273-seacev3-2026-1003003812-7,2026-04-18T10:19:29.283986-05:00,tender,PE-CONSUCODE-200842,SERVICIO NACIONAL DE CERTIFICACION AMBIENTAL PARA LA INVESTIGACION,Fondos Públicos,1185920,CP SER-SM-1-2026--SENACE-1,"Servicio de alquiler de camionetas para el ejercicio de las funciones de la Dirección de Evaluación Ambiental para Proyectos de Recursos Naturales y Productivos (DEAR), la Dirección de Evaluación Ambiental para Proyectos de Infraestructura (DEIN) y la Dirección de Gestión Estratégica en Evaluación Ambiental (DGE)",PE-CONSUCODE-200842,SERVICIO NACIONAL DE CERTIFICACION AMBIENTAL PARA LA INVESTIGACION,2026-01-30T19:46:00-05:00,,Concurso Público de Servicios,services,services,940790.4,PEN,Soles,940790.4,2026-01-30T00:00:00-05:00,2026-01-30T00:00:00-05:00,25,False,2026-01,añoInicioConvocatoria;mesInicioConvocatoria,4224211.2,PEN,Soles,2026-01-31T00:01:00-05:00,2026-02-13T23:59:00-05:00,13,,
ocds-dgv273-seacev3-2026-443-1,ocds-dgv273-seacev3-2026-443-1-2026-04-18T10:18:45.254843-05:00,compiled,2026-04-18T10:18:45.254831-05:00,ocds-dgv273-seacev3-2026-443-1,2026-04-18T10:18:45.254848-05:00,tender,PE-CONSUCODE-443,MUNICIPALIDAD DISTRITAL DE JAQUI,Fondos Públicos,1184856,LP-ABR-1-2026-MDJ/C-1,"EJECUCIÓN DE OBRA: MEJORAMIENTO DEL AFORO Y REHABILITACION DEL POZO TUBULAR Y DE LOS DOS RESERVORIOS QUE ABASTECE EL DISTRITO DE JAQUI, PROVINCIA DE CARAVELI, REGION AREQUIPA",PE-CONSUCODE-443,MUNICIPALIDAD DISTRITAL DE JAQUI,2026-01-20T22:57:00-05:00,,Licitación Pública Abreviada,works,works,295455.0,PEN,Soles,295455.0,2026-01-20T00:00:00-05:00,2026-01-20T00:00:00-05:00,13,False,2026-01,añoInicioConvocatoria;mesInicioConvocatoria,,,,2026-01-21T00:01:00-05:00,2026-01-27T23:59:00-05:00,6,,
ocds-dgv273-seacev3-1185353,ocds-dgv273-seacev3-1185353-2026-04-17T10:28:58.055091-05:00,compiled,2026-04-17T10:28:58.055078-05:00,ocds-dgv273-seacev3-1185353,2026-04-17T10:28:58.055097-05:00,tender,PE-CONSUCODE-204971,MUNICIPALIDAD DISTRITAL DE AHUAYRO,Fondos Públicos,1185353,SIE-SIE-1-2026-MDA-1,"ADQUISICIÓN DE CEMENTO PORTLAND TIPO 1, PARA EL PROYECTO: CREACION DE ESPACIO MULTIDEPORTIVO EN EL SECTOR DE WERACCOCHAPAMPA DEL DISTRITO DE AHUAYRO - PROVINCIA DE CHINCHEROS - DEPARTAMENTO DE APURIMAC",PE-CONSUCODE-204971,MUNICIPALIDAD DISTRITAL DE AHUAYRO,2026-01-27T17:12:00-05:00,open,Subasta Inversa Electrónica,goods,goods,71262.0,PEN,Soles,71262.0,2026-01-27T00:00:00-05:00,2026-01-27T00:00:00-05:00,23,False,2026-01,añoInicioConvocatoria;mesInicioConvocatoria,71262.0,PEN,Soles,,,,CREACION DE ESPACIO MULTIDEPORTIVO EN EL SECTOR WERACCOCHAPAMPA DEL DISTRITO DE AHUAYRO - PROVINCIA DE CHINCHEROS - DEPARTAMENTO DE APURIMAC,2570682
ocds-dgv273-seacev3-1184672,ocds-dgv273-seacev3-1184672-2026-04-17T10:28:46.845737-05:00,compiled,2026-04-17T10:28:46.845724-05:00,ocds-dgv273-seacev3-1184672,2026-04-17T10:28:46.845742-05:00,tender,PE-CONSUCODE-198,MUNICIPALIDAD DISTRITAL DE TINCO,Fondos Públicos,1184672,COMPRE-COMPRE-1-2026-MDT/OC-2,"CONTRATACIÓN PARA LA ADQUISICIÓN DE TUBO LAC ASTM A500 PARA LA EJECUCIÓN DEL PROYECTO: ¿MEJORAMIENTO DE LOS SERVICIOS EDUCATIVOS DE LA INSTITUCIÓN EDUCATIVA INICIAL N°245 DIVINO NIÑO JESÚS DEL DISTRITO DE TINCO, PROVINCIA DE CARHUAZ, DEPARTAMENTO DE ÁNCASH¿ CON CUI N°2564435",PE-CONSUCODE-198,MUNICIPALIDAD DISTRITAL DE TINCO,2026-01-15T18:03:00-05:00,open,Comparación de Precios,goods,goods,71576.25,PEN,Soles,71576.25,2026-01-15T00:00:00-05:00,2026-01-15T00:00:00-05:00,3,False,2026-01,añoInicioConvocatoria;mesInicioConvocatoria,71576.25,PEN,Soles,,,,MEJORAMIENTO DE LOS SERVICIOS EDUCATIVOS DE LA INSTITUCION EDUCATIVA INICIAL N° 245 DIVINO NIÑO JESUS DEL  DISTRITO DE TINCO - PROVINCIA DE CARHUAZ - DEPARTAMENTO DE ANCASH,2564435
ocds-dgv273-seacev3-2026-697-1,ocds-dgv273-seacev3-2026-697-1-2026-04-17T10:28:36.803520-05:00,compiled,2026-04-17T10:28:36.803507-05:00,ocds-dgv273-seacev3-2026-697-1,2026-04-17T10:28:36.803526-05:00,tender,PE-CONSUCODE-697,MUNICIPALIDAD DISTRITAL DE SAN JOSE DEL ALTO,Fondos Públicos,1185760,LP-ABR-1-2026-MDSJA/CS-1,ADQUISICION DE PRODUCTOS ALIMENTICIOS PARA EL PROGRAMA VASO DE LECHE DE LA MUNICIPALIDAD DISTRITAL DE SAN JOSE DEL ALTO PARA EL PERIODO 2026,PE-CONSUCODE-697,MUNICIPALIDAD DISTRITAL DE SAN JOSE DEL ALTO,2026-01-29T21:41:00-05:00,,Licitación Pública Abreviada,goods,goods,219120.0,PEN,Soles,219120.0,2026-01-29T00:00:00-05:00,2026-01-29T00:00:00-05:00,3,False,2026-01,añoInicioConvocatoria;mesInicioConvocatoria,219120.0,PEN,Soles,2026-01-30T00:01:00-05:00,2026-02-03T23:59:00-05:00,4,,
ocds-dgv273-seacev3-1185637,ocds-dgv273-seacev3-1185637-2026-04-17T10:28:36.480157-05:00,compiled,2026-04-17T10:28:36.480144-05:00,ocds-dgv273-seacev3-1185637,2026-04-17T10:28:36.480164-05:00,tender,PE-CONSUCODE-40,GOBIERNO REGIONAL DE HUANUCO SEDE CENTRAL,Fondos Públicos,1185637,DIRECTA-DIRECTA-1-2026-GRH/DEC-1,"SERVICIO DE CONTRATACIÓN DE ALQUILER DE LOCAL PARA USO DEL ARCHIVO CENTRAL DE LA GERENCIA REGIONAL DE PLANEAMIENTO, PRESUPUESTO Y ACONDICIONAMIENTO TERRITORIAL DEL GOBIERNO REGIONAL HUÁNUCO",PE-CONSUCODE-40,GOBIERNO REGIONAL DE HUANUCO SEDE CENTRAL,2026-01-28T18:57:00-05:00,direct,Contratación Directa,services,services,110000.0,PEN,Soles,110000.0,,,1,False,2026-01,añoPublicacionProceso;mesPublicacionProceso,,,,,,,,
ocds-dgv273-seacev3-1185582,ocds-dgv273-seacev3-1185582-2026-04-17T10:28:35.991012-05:00,compiled,2026-04-17T10:28:35.990999-05:00,ocds-dgv273-seacev3-1185582,2026-04-17T10:28:35.991016-05:00,tender,PE-CONSUCODE-200019,MTC-PROYECTO ESPECIAL DE INFRAESTRUCTURA DE TRANSPORTE NACIONAL (PROVIAS NACIONAL),Fondos Públicos,1185582,DIRECTA-DIRECTA-1-2026-MTC/20-1,SERVICIO DE ALQUILER DE INMUEBLE PARA EL FUNCIONAMIENTO DE LAS DIRECCIONES DE DERECHO DE VÍA Y ESTUDIOS DE PROVÍAS NACIONAL,PE-CONSUCODE-200019,MTC-PROYECTO ESPECIAL DE INFRAESTRUCTURA DE TRANSPORTE NACIONAL (PROVIAS NACIONAL),2026-01-28T15:20:00-05:00,direct,Contratación Directa,services,services,770040.0,USD,Dólar Norteamericano,2591954.64,,,1,False,2026-01,añoPublicacionProceso;mesPublicacionProceso,2591954.64,PEN,Soles,,,,,
ocds-dgv273-seacev3-1185156,ocds-dgv273-seacev3-1185156-2026-04-17T10:28:25.301208-05:00,compiled,2026-04-17T10:28:25.301195-05:00,ocds-dgv273-seacev3-1185156,2026-04-17T10:28:25.301213-05:00,tender,PE-CONSUCODE-2319,MUNICIPALIDAD DISTRITAL DE PATAPO,Fondos Públicos,1185156,LP-ABR-1-2026-MDP/C-1,CONTRATACIÓN DEL SUMINISTRO DE BIENES LECHE EVAPORADA ENTERA DE 410 GR,PE-CONSUCODE-2319,MUNICIPALIDAD DISTRITAL DE PATAPO,2026-01-22T23:13:00-05:00,,Licitación Pública Abreviada,goods,goods,125066.4,PEN,Soles,125066.4,2026-01-22T00:00:00-05:00,2026-01-22T00:00:00-05:00,11,False,2026-01,añoInicioConvocatoria;mesInicioConvocatoria,125066.4,PEN,Soles,2026-01-23T00:01:00-05:00,2026-01-28T23:59:00-05:00,5,,
ocds-dgv273-seacev3-1185746,ocds-dgv273-seacev3-1185746-2026-04-17T10:28:03.253524-05:00,compiled,2026-04-17T10:28:03.253512-05:00,ocds-dgv273-seacev3-1185746,2026-04-17T10:28:03.253530-05:00,tender,PE-CONSUCODE-2437,SERVICIOS POSTALES DEL PERU S.A.,Fondos Públicos,1185746,CP SER-SM-1-2026-SERPOST S.A.-1,"SERVICIO DE LIMPIEZA PARA LA SEDE CENTRAL, ADMINISTRACIONES Y OFICINAS POSTALES DE LIMA Y CALLAO DE SERPOST S.A.",PE-CONSUCODE-2437,SERVICIOS POSTALES DEL PERU S.A.,2026-01-29T14:15:00-05:00,,Concurso Público de Servicios,services,services,3358214.64,PEN,Soles,3358214.64,2026-01-29T00:00:00-05:00,2026-01-29T00:00:00-05:00,70,False,2026-01,añoInicioConvocatoria;mesInicioConvocatoria,,,,2026-01-30T00:01:00-05:00,2026-02-09T23:59:00-05:00,10,,
